cmpgn,kw,search_impression_share,top_impression_percentage,absolute_top_impression_percentage
Non Branded HubSpot,assist marketing,1.05,1.3900000000000001,0.4
Non Branded HubSpot,best network marketing companies,0.7,1.46,0.26
Non Branded HubSpot,business to business marketing,12.61,2.9299999999999997,0.42000000000000004
Non Branded HubSpot,chief marketing officer,2.2,21.28,5.38
Non Branded HubSpot,digital marketing,9.8,69.27,7.390000000000001
Non Branded HubSpot,direct marketing,21.31,45.56,7.96
Non Branded HubSpot,direct marketing association,41.96,145.88,32.52
Non Branded HubSpot,fashion marketing,4.63,5.18,0.79
Non Branded HubSpot,google marketing,0.6000000000000001,3.5,0.8200000000000001
Non Branded HubSpot,how to become a marketing manager,0.5,0.0,0.0
Non Branded HubSpot,inbound marketing,20.64,103.71,15.34
Non Branded HubSpot,insurance marketing,0.1,0.0,0.0
Non Branded HubSpot,journal of marketing,6.5,0.92,0.92
Non Branded HubSpot,legal marketing association,0.1,0.64,0.0
Non Branded HubSpot,marketing and advertising,1.5,0.0,0.0
Non Branded HubSpot,marketing and sales,0.25,0.17,0.0
Non Branded HubSpot,marketing articles,0.2,0.0,0.0
Non Branded HubSpot,marketing automation,19.78,19.38,16.45
Non Branded HubSpot,marketing budget template,1.0,0.0,0.0
Non Branded HubSpot,marketing calendar template,0.47000000000000003,0.0,0.0
Non Branded HubSpot,marketing communications,13.57,6.0,1.8800000000000001
Non Branded HubSpot,marketing concepts,1.5,11.77,3.42
Non Branded HubSpot,marketing coordinator,0.6000000000000001,5.72,1.62
Non Branded HubSpot,marketing cover letter,0.5,0.0,0.0
Non Branded HubSpot,marketing definition,26.53,27.97,24.32
Non Branded HubSpot,marketing degree jobs,0.2,0.4,0.0
Non Branded HubSpot,marketing director,3.61,4.97,3.92
Non Branded HubSpot,marketing ethics,1.1,0.0,0.0
Non Branded HubSpot,marketing executive,5.8,1.94,0.21000000000000002
Non Branded HubSpot,marketing management,26.27,21.91,18.5
Non Branded HubSpot,marketing manager,20.7,16.01,13.67
Non Branded HubSpot,marketing mix,1.5,9.77,2.87
Non Branded HubSpot,marketing online,10.790000000000001,4.98,4.59
Non Branded HubSpot,marketing plan sample,3.59,4.2,3.33
Non Branded HubSpot,marketing plan template,1.8,16.919999999999998,4.79
Non Branded HubSpot,marketing plans,1.5,14.81,3.65
Non Branded HubSpot,marketing principles,1.0,0.0,0.0
Non Branded HubSpot,marketing products,4.0,0.0,0.0
Non Branded HubSpot,marketing research process,0.21000000000000002,0.0,0.0
Non Branded HubSpot,marketing synonym,0.1,0.87,0.13
Non Branded HubSpot,marketing tips,0.2,1.6099999999999999,0.52
Non Branded HubSpot,mass marketing,3.51,0.78,0.67
Non Branded HubSpot,mass marketing definition,0.33,0.0,0.0
Non Branded HubSpot,network marketing pro,0.30000000000000004,2.32,0.72
Non Branded HubSpot,niche marketing,6.17,10.24,2.79
Non Branded HubSpot,one to one marketing,1.0,0.0,0.0
Non Branded HubSpot,principles of marketing,0.4,0.92,0.42
Non Branded HubSpot,promotion marketing,8.5,0.0,0.0
Non Branded HubSpot,small business marketing,0.5,0.89,0.44
Non Branded HubSpot,social marketing,8.07,20.49,2.5100000000000002
Non Branded HubSpot,vector marketing,35.98,108.14,30.86
Non Branded HubSpot,web marketing,14.95,18.42,13.22
Non Branded HubSpot,what is a marketing plan,6.5,0.0,0.0
Non Branded HubSpot,world marketing,1.0,0.0,0.0
Reporting Tools,marketing goals,1.0,0.0,0.0
SME - Max Conv.,chief marketing officer,2.87,11.81,4.57
SME - Max Conv.,elite marketing pro,0.25,0.0,0.0
SME - Max Conv.,legal marketing,3.0,0.0,0.0
SME - Max Conv.,marketing plan definition,0.5,0.0,0.0
SME - Max Conv.,mass marketing,5.0,0.0,0.0
SME Consideration,chief marketing officer,61.97,175.46,66.57
SME Consideration,elite marketing pro,0.2,0.0,0.0
SME Consideration,legal marketing,4.83,0.0,0.0
SME Consideration,marketing mix,3.33,30.26,8.450000000000001
SME Consideration,marketing plan definition,2.7800000000000002,0.0,0.0
SME Consideration,mass marketing,16.33,0.0,0.0
SME Consideration,online marketing degree,0.0,0.0,0.0
SME Consideration,viral marketing,2.13,16.1,5.4
SME Consideration,what is inbound marketing,0.0,0.0,0.0
Social Responsibility,account based marketing,22.93,0.45999999999999996,0.14
Social Responsibility,advantage sales and marketing,34.31,34.4,15.2
Social Responsibility,best email marketing software,0.0,0.0,0.0
Social Responsibility,content marketing institute,20.02,6.51,3.14
Social Responsibility,direct mail marketing,13.34,4.88,0.49000000000000005
Social Responsibility,jobs in marketing,0.52,1.35,0.37
Social Responsibility,marketing communications,31.84,14.7,4.2700000000000005
Social Responsibility,marketing job description,8.45,1.01,0.38
Social Responsibility,marketing process,1.79,1.08,0.13
Social Responsibility,marketing services,8.01,0.2,0.0
Social Responsibility,marketing skills,18.85,4.71,2.06
Social Responsibility,marketing strategy definition,1.44,1.32,0.62
Social Responsibility,marketing terms,11.14,0.0,0.0
Social Responsibility,masters in marketing,8.71,9.19,3.89
Social Responsibility,ppc marketing,16.3,6.75,3.34
Social Responsibility,pragmatic marketing,1.1600000000000001,1.83,0.45999999999999996
Social Responsibility,promotion marketing,19.580000000000002,0.0,0.0
Social Responsibility,search engine marketing,4.680000000000001,8.44,4.28
Social Responsibility,social media marketing company,12.74,0.14,0.14
Social Responsibility - Max Conv.,agent marketing,5.75,0.0,0.0
Social Responsibility - Max Conv.,content marketing strategy,0.5,0.0,0.0
Social Responsibility - Max Conv.,definition of marketing,3.49,0.64,0.09
Social Responsibility - Max Conv.,digital marketing manager,1.25,0.0,0.0
Social Responsibility - Max Conv.,marketing companies,3.69,1.84,1.04
Social Responsibility - Max Conv.,marketing consultant,3.31,0.0,0.0
Social Responsibility - Max Conv.,marketing land,1.5,0.0,0.0
Social Responsibility - Max Conv.,marketing strategy template,2.0,0.0,0.0
Social Responsibility - Max Conv.,product marketing,5.07,0.0,0.0
Social Responsibility - Max Conv.,retail marketing,0.0,0.0,0.0
Social Responsibility - Max Conv.,sms marketing,3.48,0.73,0.27
Social Responsibility - Max Conv.,social media marketing,3.46,3.23,1.05
Support - Max Conv.,account based marketing,5.7,0.0,0.0
Support - Max Conv.,advantage sales and marketing,1.42,0.14,0.0
Support - Max Conv.,content marketing institute,0.25,0.0,0.0
Support - Max Conv.,creative marketing,0.24,0.56,0.22
Support - Max Conv.,direct mail marketing,2.41,0.34,0.0
Support - Max Conv.,marketing communications,7.57,0.63,0.06
Support - Max Conv.,marketing job description,2.59,0.0,0.0
Support - Max Conv.,marketing services,1.9,0.0,0.0
Support - Max Conv.,marketing terms,2.6,0.0,0.0
Support - Max Conv.,masters in marketing,0.5,0.0,0.0
Support - Max Conv.,ppc marketing,4.0600000000000005,1.0,0.69
Support - Max Conv.,promotion marketing,2.17,0.0,0.0
Support - Max Conv.,search engine marketing,1.03,7.2,4.17
Support - Max Conv.,social media marketing company,2.0,0.0,0.0
